001 H 1.00800
002 He 4.00260
003 Li 6.94000
004 Be 9.01220
005 B 10.81000
006 C 12.01100
007 N 14.00700
008 O 15.99900
009 F 18.99840
010 Ne 20.17970
011 Na 22.98980
012 Mg 24.30500
013 Al 26.98150
014 Si 28.08500
015 P 30.97380
016 S 32.06000
017 Cl 35.45000
018 Ar 39.94800
019 K 39.09830
020 Ca 40.07800
021 Sc 44.95590
022 Ti 47.86700
023 V 50.94150
024 Cr 51.99610
025 Mn 54.93800
026 Fe 55.84500
027 Co 58.93320
028 Ni 58.69340
029 Cu 63.54600
030 Zn 65.38000
031 Ga 69.72300
032 Ge 72.63000
033 As 74.92160
034 Se 78.96000
035 Br 79.90400
036 Kr 83.79800
037 Rb 85.46780
038 Sr 87.62000
039 Y 88.90590
040 Zr 91.22400
041 Nb 92.90640
042 Mo 95.96000
043 Tc 98.00000
044 Ru 101.07000
045 Rh 102.90550
046 Pd 106.42000
047 Ag 107.86820
048 Cd 112.41100
049 In 114.81800
050 Sn 118.71000
051 Sb 121.76000
052 Te 127.60000
053 I 126.90450
054 Xe 131.29300
055 Cs 132.90550
056 Ba 137.32700
057 La 138.90550
058 Ce 140.11600
059 Pr 140.90760
060 Nd 144.24200
061 Pm 145.00000
062 Sm 150.36000
063 Eu 151.96400
064 Gd 157.25000
065 Tb 158.92540
066 Dy 162.50000
067 Ho 164.93030
068 Er 167.25900
069 Tm 168.93420
070 Yb 173.05400
071 Lu 174.96680
072 Hf 178.49000
073 Ta 180.94790
074 W 183.84000
075 Re 186.20700
076 Os 190.23000
077 Ir 192.21700
078 Pt 195.08400
079 Au 196.96660
080 Hg 200.59000
081 Tl 204.38000
082 Pb 207.20000
083 Bi 208.98040
084 Po 209.00000
085 At 210.00000
086 Rn 222.00000
087 Fr 223.00000
088 Ra 226.00000
089 Ac 227.00000
090 Th 232.03810
091 Pa 231.03590
092 U 238.02890
093 Np 237.00000
094 Pu 244.00000
095 Am 243.00000
096 Cm 247.00000
097 Bk 247.00000
098 Cf 251.00000
099 Es 252.00000
100 Fm 257.00000
101 Md 258.00000
102 No 259.00000
103 Lr 262.00000
104 Rf 265.00000
105 Db 268.00000
106 Sg 271.00000
107 Bh 270.00000
108 Hs 277.00000
109 Mt 276.00000
110 Ds 281.00000
111 Rg 280.00000
112 Cn 285.00000
113 Uu 284.00000
114 Uu 289.00000
115 Uu 288.00000
116 Uu 293.00000
117 Uu 294.00000
118 Uu 294.00000
