 h1 he3 he4 c12 n14 o16 ne20 na23 mg24 si28 s32 ar36 ca40 ti44 cr48 cr60 fe52 fe54 fe56 co56 ni56
0 3.464691e-05 0.0 0.5800994 0.1190353 7.025597e-07 0.246159 0.006333397 3.274956e-08 0.00738866 0.03112645 0.005069225 0.0004829527 0.000169682 0.0 0.0 0.0 0.0 0.0 2.07097e-05 0.0 0.0040795
1 3.464691e-05 0.0 0.5800994 0.1190353 7.025597e-07 0.246159 0.006333397 3.274956e-08 0.00738866 0.03112645 0.005069225 0.0004829527 0.000169682 0.0 0.0 0.0 0.0 0.0 2.07097e-05 0.0 0.0040795
2 3.464691e-05 0.0 0.5800994 0.1190353 7.025597e-07 0.246159 0.006333397 3.274956e-08 0.00738866 0.03112645 0.005069225 0.0004829527 0.000169682 0.0 0.0 0.0 0.0 0.0 2.07097e-05 0.0 0.0040795
3 3.464691e-05 0.0 0.5800994 0.1190353 7.025597e-07 0.246159 0.006333397 3.274956e-08 0.00738866 0.03112645 0.005069225 0.0004829527 0.000169682 0.0 0.0 0.0 0.0 0.0 2.07097e-05 0.0 0.0040795
4 3.464691e-05 0.0 0.5800994 0.1190353 7.025597e-07 0.246159 0.006333397 3.274956e-08 0.00738866 0.03112645 0.005069225 0.0004829527 0.000169682 0.0 0.0 0.0 0.0 0.0 2.07097e-05 0.0 0.0040795
5 3.464691e-05 0.0 0.5800994 0.1190353 7.025597e-07 0.246159 0.006333397 3.274956e-08 0.00738866 0.03112645 0.005069225 0.0004829527 0.000169682 0.0 0.0 0.0 0.0 0.0 2.07097e-05 0.0 0.0040795
6 3.464691e-05 0.0 0.5800994 0.1190353 7.025597e-07 0.246159 0.006333397 3.274956e-08 0.00738866 0.03112645 0.005069225 0.0004829527 0.000169682 0.0 0.0 0.0 0.0 0.0 2.07097e-05 0.0 0.0040795
7 3.464691e-05 0.0 0.5800994 0.1190353 7.025597e-07 0.246159 0.006333397 3.274956e-08 0.00738866 0.03112645 0.005069225 0.0004829527 0.000169682 0.0 0.0 0.0 0.0 0.0 2.07097e-05 0.0 0.0040795
8 3.464691e-05 0.0 0.5800994 0.1190353 7.025597e-07 0.246159 0.006333397 3.274957e-08 0.00738866 0.03112645 0.005069225 0.0004829527 0.000169682 0.0 0.0 0.0 0.0 0.0 2.07097e-05 0.0 0.0040795
9 4.154752e-05 0.0 0.5841201 0.1185549 7.856926e-07 0.2431931 0.006325444 3.662477e-08 0.007302489 0.03071376 0.00500307 0.0004767893 0.0001676314 0.0 0.0 0.0 0.0 0.0 2.068415e-05 0.0 0.00407938
10 5.163466e-05 0.0 0.5899974 0.1178526 9.07214e-07 0.2388577 0.006313819 4.228945e-08 0.007176527 0.03011051 0.004906365 0.0004677799 0.0001646339 0.0 0.0 0.0 0.0 0.0 2.064679e-05 0.0 0.004079205
11 5.163466e-05 0.0 0.5899974 0.1178526 9.07214e-07 0.2388577 0.006313819 4.228945e-08 0.007176527 0.03011051 0.004906365 0.0004677799 0.0001646339 0.0 0.0 0.0 0.0 0.0 2.064679e-05 0.0 0.004079205
